source_file,formulation_group,formulation_label,drug_label,replicate_file_id,time_h,interval_mean_signal,duration_h,n_technical_measurements,interval_start_h,interval_end_h,interval_auc,AUC_0_8h_denominator,interval_auc_fraction,sum_interval_auc_fraction_0_8h,y_variable,normalization_formula,auc_method
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,0.5,0.20166666666666666,0.5,3,0.0,0.5,0.10083333333333333,2.5821666666666663,0.03904989350029046,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,1.0,0.3453333333333333,0.5,3,0.5,1.0,0.17266666666666666,2.5821666666666663,0.06686890853934035,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,2.0,0.3,1.0,3,1.0,2.0,0.3,2.5821666666666663,0.11618150132317823,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,4.0,0.5926666666666667,2.0,3,2.0,4.0,1.1853333333333333,2.5821666666666663,0.45904602078357976,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,6.0,0.37266666666666665,2.0,3,4.0,6.0,0.7453333333333333,2.5821666666666663,0.288646485509585,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,8.0,0.039,2.0,3,6.0,8.0,0.078,2.5821666666666663,0.03020719034402634,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,0.5,0.3016666666666667,0.5,3,0.0,0.5,0.15083333333333335,2.0601666666666665,0.07321414125070788,1.0,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,1.0,0.18266666666666667,0.5,3,0.5,1.0,0.09133333333333334,2.0601666666666665,0.04433298276838444,1.0,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,2.0,0.242,1.0,3,1.0,2.0,0.242,2.0601666666666665,0.11746622441550038,1.0,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,4.0,0.49,2.0,3,2.0,4.0,0.98,2.0601666666666665,0.47568966912062133,1.0,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,6.0,0.27,2.0,3,4.0,6.0,0.54,2.0601666666666665,0.2621147156378934,1.0,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,8.0,0.027999999999999997,2.0,3,6.0,8.0,0.055999999999999994,2.0601666666666665,0.027182266806892647,1.0,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
