source_video,frame_index,video_time_s,real_time_h,projected_area_px,normalized_projected_area,threshold_used,roi_y_min,roi_y_max,mask_area_valid,qc_flag,formulation_group,pH_condition,viscosity_group,replicate_id,include_for_fig4,mapping_used,parsing_status
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1500,60.0,12.5,2663871,3.877106932701866,80.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1520,60.8,12.666666666666666,2676871,3.896027665021533,80.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1540,61.6,12.833333333333334,2696419,3.924478624666522,80.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1560,62.4,13.0,2704063,3.9356040152704863,80.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1580,63.2,13.166666666666666,2716983,3.9544083123143405,80.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1600,64.0,13.333333333333334,2723736,3.9642369050339337,80.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1620,64.8,13.5,2731781,3.975945927457912,80.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1640,65.6,13.666666666666664,2752236,4.005716972042435,80.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1660,66.4,13.833333333333336,2779709,4.045702301197682,79.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1680,67.2,14.0,2795461,4.0686284070053285,79.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1700,68.0,14.166666666666666,2798313,4.0727793245880735,79.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1720,68.8,14.333333333333334,2811785,4.092387025035039,79.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1740,69.6,14.499999999999998,2821229,4.106132209344804,79.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
